,children_no,children_yes,AF,age,yearsmarried,religiousness,education,occupation,rating,gender_female,gender_male
194,0,1,0,37.0,15.0,2,14,1,3,1,0
296,1,0,0,22.0,0.41700000000000004,4,14,5,5,1,0
2,0,1,0,32.0,15.0,1,12,1,4,1,0
169,0,1,0,57.0,15.0,4,9,2,2,0,1
350,1,0,0,27.0,1.5,2,16,5,5,1,0
117,1,0,0,32.0,10.0,5,18,6,4,0,1
454,0,1,1,32.0,10.0,3,17,5,2,1,0
122,0,1,0,42.0,15.0,4,17,5,3,0,1
431,1,0,0,22.0,1.5,3,17,5,5,1,0
374,1,0,0,22.0,1.5,4,14,5,5,0,1
40,0,1,0,32.0,10.0,5,20,6,5,0,1
69,1,0,0,27.0,1.5,2,16,6,4,1,0
585,0,1,1,32.0,15.0,5,20,6,5,0,1
0,1,0,0,37.0,10.0,3,18,7,4,0,1
226,0,1,0,32.0,10.0,4,17,5,4,1,0
94,1,0,0,27.0,0.41700000000000004,1,16,3,4,0,1
62,1,0,0,22.0,0.75,2,16,5,5,1,0
44,0,1,0,32.0,7.0,5,17,5,3,1,0
68,1,0,0,22.0,1.5,5,16,5,5,1,0
148,0,1,0,57.0,15.0,4,16,6,4,1,0
280,0,1,0,37.0,15.0,4,20,6,4,0,1
21,1,0,0,22.0,1.5,2,16,5,5,1,0
527,1,0,1,27.0,7.0,2,17,5,5,1,0
587,1,0,1,47.0,15.0,1,18,6,5,0,1
412,1,0,0,27.0,7.0,4,12,4,3,0,1
516,0,1,1,57.0,15.0,1,17,4,4,0,1
551,0,1,1,57.0,15.0,5,20,4,5,0,1
84,0,1,0,22.0,1.5,4,12,1,5,1,0
220,0,1,0,37.0,10.0,3,16,6,3,1,0
209,0,1,0,37.0,15.0,4,18,5,3,1,0
289,0,1,0,37.0,15.0,2,18,5,4,1,0
445,1,0,0,22.0,4.0,4,14,5,5,1,0
465,0,1,1,32.0,15.0,3,14,1,2,1,0
140,0,1,0,27.0,10.0,2,12,1,4,1,0
579,0,1,1,42.0,15.0,3,16,6,3,0,1
439,0,1,0,27.0,7.0,2,20,6,2,0,1
45,1,0,0,22.0,4.0,3,16,5,5,0,1
320,1,0,0,22.0,0.41700000000000004,3,17,1,5,1,0
11,0,1,0,27.0,4.0,4,18,6,4,0,1
242,0,1,0,32.0,15.0,1,16,5,5,0,1
275,0,1,0,27.0,7.0,2,12,5,1,1,0
121,0,1,0,42.0,15.0,5,18,5,4,1,0
513,0,1,1,32.0,4.0,3,18,5,2,1,0
503,1,0,1,27.0,4.0,2,14,4,5,0,1
93,0,1,0,57.0,15.0,5,20,5,3,0,1
183,1,0,0,37.0,7.0,4,18,5,5,1,0
221,0,1,0,42.0,15.0,4,17,6,5,0,1
382,0,1,0,32.0,10.0,4,20,6,5,0,1
567,1,0,1,52.0,7.0,4,16,5,5,0,1
48,0,1,0,27.0,1.5,4,16,3,5,0,1
151,1,0,0,22.0,0.75,2,14,4,3,0,1
542,1,0,1,22.0,7.0,4,14,4,3,1,0
277,0,1,0,37.0,15.0,2,17,5,5,1,0
154,0,1,0,22.0,0.75,2,14,4,3,0,1
229,0,1,0,42.0,4.0,3,14,4,5,0,1
477,1,0,1,27.0,1.5,2,18,5,2,0,1
520,0,1,1,52.0,15.0,3,14,4,4,1,0
404,1,0,0,57.0,15.0,4,9,3,1,0,1
334,0,1,0,27.0,4.0,3,16,4,5,0,1
147,0,1,0,52.0,15.0,5,12,1,3,1,0
159,0,1,0,32.0,4.0,2,16,5,5,0,1
225,0,1,0,22.0,7.0,1,14,3,5,1,0
234,1,0,0,22.0,0.75,4,18,6,5,0,1
582,0,1,1,37.0,15.0,3,20,6,4,0,1
291,1,0,0,22.0,1.5,2,16,5,5,0,1
170,0,1,0,57.0,15.0,4,20,6,5,0,1
490,0,1,1,52.0,15.0,2,20,6,3,0,1
53,0,1,0,27.0,10.0,4,20,6,4,0,1
165,0,1,0,27.0,1.5,4,17,1,2,1,0
588,0,1,1,32.0,15.0,4,16,4,4,1,0
596,0,1,1,22.0,1.5,1,12,2,5,0,1
244,0,1,0,32.0,15.0,4,12,3,4,1,0
138,0,1,0,27.0,4.0,4,20,5,5,0,1
330,1,0,0,32.0,1.5,2,18,4,4,0,1
304,0,1,0,22.0,4.0,4,14,3,4,1,0
227,0,1,0,27.0,1.5,2,16,2,4,0,1
286,1,0,0,22.0,1.5,3,16,3,5,0,1
391,0,1,0,42.0,15.0,4,16,4,4,0,1
348,0,1,0,52.0,15.0,4,14,1,3,1,0
576,0,1,1,42.0,15.0,2,17,5,4,1,0
95,0,1,0,42.0,15.0,5,14,1,5,1,0
132,1,0,0,27.0,1.5,2,16,6,5,1,0
47,0,1,0,42.0,15.0,2,18,5,4,1,0
79,0,1,0,57.0,15.0,2,14,7,2,0,1
118,1,0,0,22.0,0.75,4,16,1,5,1,0
162,0,1,0,37.0,15.0,5,18,6,5,0,1
120,0,1,0,27.0,7.0,2,16,2,5,1,0
323,0,1,0,32.0,15.0,4,14,1,5,1,0
293,1,0,0,22.0,1.5,4,16,5,3,1,0
51,0,1,0,32.0,7.0,2,20,6,4,0,1
395,1,0,0,22.0,4.0,5,12,4,5,0,1
90,0,1,0,32.0,15.0,4,14,3,4,1,0
310,1,0,0,27.0,1.5,2,17,3,2,1,0
401,0,1,0,27.0,4.0,4,12,1,5,1,0
405,1,0,0,37.0,7.0,4,18,5,5,0,1
182,0,1,0,32.0,4.0,3,17,5,3,1,0
167,1,0,0,22.0,1.5,4,14,5,4,1,0
73,0,1,0,47.0,15.0,4,14,4,3,0,1
261,0,1,0,37.0,15.0,4,14,5,3,0,1
438,0,1,0,27.0,7.0,4,14,3,3,0,1
202,1,0,0,22.0,1.5,3,16,6,5,1,0
250,0,1,0,47.0,15.0,4,12,2,3,1,0
315,0,1,0,42.0,4.0,4,18,5,5,0,1
208,1,0,0,37.0,10.0,2,12,4,4,1,0
351,1,0,0,27.0,1.5,3,17,5,5,1,0
425,0,1,0,27.0,4.0,4,14,5,5,0,1
78,1,0,0,22.0,1.5,3,16,5,5,1,0
124,1,0,0,22.0,1.5,3,16,5,5,1,0
46,0,1,0,27.0,7.0,4,18,6,5,1,0
214,1,0,0,27.0,4.0,2,17,4,5,1,0
26,1,0,0,27.0,7.0,4,16,1,5,1,0
309,1,0,0,32.0,4.0,3,14,4,5,0,1
408,1,0,0,27.0,7.0,2,17,5,4,1,0
436,0,1,0,42.0,15.0,2,14,1,4,1,0
134,0,1,0,32.0,10.0,3,14,5,3,1,0
52,0,1,0,27.0,4.0,5,20,6,5,0,1
230,0,1,0,37.0,15.0,5,14,5,4,1,0
584,0,1,1,32.0,4.0,3,20,6,2,0,1
354,0,1,0,27.0,4.0,4,12,1,5,1,0
295,1,0,0,27.0,4.0,2,17,5,3,0,1
457,0,1,1,37.0,15.0,4,14,5,2,0,1
460,0,1,1,32.0,15.0,4,12,3,2,1,0
550,0,1,1,32.0,15.0,3,9,1,1,1,0
432,0,1,0,27.0,4.0,4,17,4,4,0,1
131,0,1,0,42.0,15.0,4,18,6,5,0,1
127,1,0,0,27.0,1.5,4,16,5,5,0,1
418,0,1,0,27.0,7.0,3,18,5,5,1,0
8,0,1,0,32.0,15.0,4,16,1,2,1,0
253,0,1,0,27.0,7.0,4,17,1,4,1,0
210,0,1,0,42.0,15.0,3,12,3,3,1,0
31,1,0,0,22.0,1.5,3,16,5,5,1,0
449,0,1,0,37.0,15.0,3,17,5,4,0,1
273,0,1,0,32.0,10.0,2,20,6,3,0,1
486,1,0,1,37.0,10.0,1,20,5,3,1,0
255,0,1,0,22.0,4.0,3,9,1,4,1,0
116,0,1,0,37.0,15.0,4,14,3,2,0,1
41,0,1,0,52.0,15.0,5,18,6,3,0,1
66,0,1,0,37.0,10.0,4,20,6,4,0,1
163,0,1,0,47.0,15.0,5,12,5,4,1,0
455,1,0,1,22.0,0.125,4,16,5,5,0,1
489,0,1,1,42.0,15.0,1,12,1,3,1,0
394,0,1,0,32.0,7.0,2,14,1,2,1,0
224,0,1,0,32.0,10.0,3,12,1,4,1,0
568,0,1,1,27.0,4.0,1,16,3,5,1,0
598,0,1,1,32.0,10.0,2,17,6,5,0,1
18,1,0,0,22.0,1.5,2,16,5,5,1,0
556,0,1,1,27.0,10.0,2,20,6,4,0,1
559,0,1,1,32.0,10.0,3,17,6,3,0,1
146,0,1,0,27.0,4.0,4,14,5,4,0,1
5,1,0,0,32.0,1.5,2,17,5,5,1,0
301,0,1,0,32.0,4.0,2,16,5,5,0,1
247,0,1,0,42.0,15.0,4,14,3,5,1,0
595,0,1,1,47.0,15.0,3,16,4,2,0,1
358,1,0,0,22.0,0.75,4,16,6,4,0,1
593,0,1,1,27.0,7.0,2,17,5,4,0,1
488,0,1,1,52.0,15.0,2,20,6,4,0,1
366,0,1,0,32.0,7.0,4,17,1,5,1,0
514,0,1,1,27.0,4.0,1,16,4,4,0,1
307,1,0,0,32.0,0.75,5,14,3,3,1,0
141,0,1,0,32.0,15.0,5,18,6,4,1,0
24,0,1,0,37.0,4.0,2,20,6,4,0,1
126,1,0,0,22.0,0.125,2,14,4,5,1,0
349,1,0,0,27.0,1.5,5,20,5,2,0,1
172,0,1,0,32.0,10.0,4,14,1,5,1,0
375,0,1,0,22.0,1.5,4,14,5,4,1,0
495,0,1,1,47.0,15.0,4,17,6,5,0,1
327,1,0,0,32.0,10.0,2,16,6,5,1,0
143,0,1,0,52.0,15.0,2,18,5,4,0,1
189,0,1,0,32.0,15.0,1,14,5,5,0,1
97,0,1,0,37.0,10.0,1,16,6,4,0,1
292,0,1,0,37.0,15.0,5,20,5,4,0,1
590,0,1,1,27.0,7.0,4,16,1,2,1,0
540,0,1,1,17.5,0.75,2,12,1,3,1,0
464,0,1,1,37.0,10.0,2,20,6,2,0,1
552,0,1,1,47.0,15.0,4,20,6,4,0,1
494,0,1,1,27.0,4.0,3,18,5,5,0,1
444,0,1,0,27.0,4.0,4,14,1,4,1,0
35,1,0,0,22.0,1.5,4,16,5,3,1,0
278,1,0,0,47.0,15.0,4,20,6,4,0,1
82,1,0,0,22.0,0.75,2,16,3,4,1,0
537,0,1,1,27.0,7.0,1,14,3,3,1,0
333,0,1,0,27.0,10.0,5,12,1,5,1,0
245,0,1,0,22.0,0.75,3,14,2,4,0,1
461,0,1,1,37.0,15.0,4,14,4,2,1,0
561,1,0,1,27.0,1.5,2,17,5,5,1,0
20,1,0,0,22.0,1.5,2,16,5,5,1,0
526,0,1,1,32.0,15.0,3,17,1,3,1,0
555,0,1,1,37.0,15.0,5,17,5,2,0,1
268,0,1,0,42.0,15.0,4,20,4,5,0,1
25,1,0,0,22.0,1.5,2,18,5,5,1,0
64,1,0,0,32.0,7.0,4,20,6,4,0,1
420,0,1,0,22.0,4.0,4,16,5,5,0,1
511,0,1,1,42.0,15.0,4,20,6,4,0,1
368,0,1,0,32.0,10.0,1,18,1,4,1,0
